product_id,category,base_price,competitor_price,customer_segment,advertising_spend,seasonality_index,demand_volume
P072,Electronics,364.81,371.97,Budget,7721.88,1.2,1986
P073,Electronics,322.24,292.17,Standard,7439.42,0.74,13
P074,Clothing,490.48,477.11,Budget,5691.11,0.95,735
P075,Beauty,452.65,473.71,Budget,8401.54,0.75,2550
P076,Home,326.87,347.81,Standard,4877.76,1.01,2361
P077,Home,349.66,336.59,Standard,9070.43,1.24,986
P078,Home,35.28,37.39,Premium,1641.52,1.17,1422
P079,Home,338.26,369.9,Standard,9591.94,0.84,3237
P080,Clothing,31.64,33.9,Standard,6892.24,1.29,1725
P081,Books,298.25,275.44,Premium,4420.67,1.1,261
P082,Beauty,499.68,523.64,Standard,2774.39,0.71,2477
P083,Electronics,282.35,272.17,Standard,5312.65,0.85,946
P084,Books,241.87,265.5,Standard,2751.02,0.86,2427
P085,Home,163.3,162.82,Standard,2496.98,0.74,1255
P086,Books,69.06,63.85,Premium,6556.17,1.28,1356
P087,Beauty,368.2,384.78,Standard,5707.76,0.99,2287
P088,Electronics,104.37,100.68,Standard,7030.86,1.24,1468
P089,Electronics,66.49,73.1,Premium,9366.45,0.89,1953
P090,Beauty,216.66,237.45,Budget,5790.34,0.78,2442
P091,Beauty,399.72,412.2,Premium,6228.39,0.98,2159
P092,Home,375.08,347.31,Budget,1806.64,0.77,0
P093,Electronics,36.89,38.27,Premium,7458.72,0.99,1644
P094,Books,233.02,214.05,Premium,4599.15,1.25,563
P095,Clothing,265.99,240.95,Standard,9790.53,1.01,414
P096,Clothing,325.83,346.88,Budget,8408.57,1.07,2624
P097,Beauty,328.58,309.51,Standard,5702.33,0.79,497
P098,Home,188.7,184.13,Budget,2109.0,0.73,1039
P099,Clothing,284.73,311.69,Premium,8734.74,0.77,2920
P100,Electronics,245.72,237.7,Premium,8198.03,1.06,1252
P101,Beauty,443.65,425.59,Budget,2661.27,0.76,349
P102,Books,269.83,292.4,Standard,3657.5,0.93,2452
P103,Beauty,226.11,208.51,Standard,8140.67,1.03,786
P104,Books,208.2,219.01,Standard,2667.06,0.93,1913
P105,Beauty,290.49,318.85,Standard,9259.77,0.8,3009
P106,Beauty,403.95,436.37,Premium,4820.75,0.86,3119
P107,Beauty,273.82,282.13,Premium,1783.35,1.26,1742
P108,Books,334.21,321.78,Premium,8341.74,1.11,1021
P109,Books,371.55,353.29,Premium,4361.59,1.0,500
P110,Beauty,264.88,281.79,Premium,5738.49,0.71,2300
P111,Clothing,219.14,235.79,Standard,2010.74,1.3,2206
P112,Home,439.57,441.81,Standard,1023.26,1.1,1396
P113,Home,214.58,203.61,Standard,6741.87,0.89,915
P114,Home,236.35,218.05,Standard,5636.58,1.23,528
P115,Books,495.27,454.38,Premium,6341.85,0.86,0
P116,Books,10.12,10.56,Premium,8143.69,1.03,1607
P117,Clothing,100.88,99.27,Premium,6819.45,1.08,1474
P118,Home,198.14,214.2,Budget,2572.96,0.83,2113
P119,Home,466.97,489.35,Standard,4246.95,1.29,2670
P120,Beauty,44.31,41.57,Standard,9153.02,1.15,1558
P121,Books,14.65,14.98,Premium,7929.5,1.03,1599
P122,Home,35.82,35.36,Standard,6009.73,0.81,1413
P123,Clothing,53.39,54.21,Standard,3300.8,0.73,1350
P124,Clothing,28.42,29.77,Premium,3718.54,0.89,1385
P125,Home,245.09,260.1,Budget,7587.62,1.15,2361
P126,Books,294.57,314.82,Budget,8660.57,0.86,2614
P127,Clothing,143.13,136.09,Budget,7042.82,1.02,1286
P128,Beauty,205.16,185.92,Premium,8285.77,1.14,676
P129,Clothing,54.93,57.56,Standard,7899.91,0.76,1582
P130,Electronics,174.82,161.06,Premium,2347.34,1.11,785
P131,Electronics,266.03,256.18,Premium,4815.5,0.76,948
P132,Books,368.81,332.21,Standard,2376.85,1.28,0
P133,Home,11.64,12.06,Budget,3117.12,0.99,1316
P134,Books,238.98,223.07,Budget,8823.34,0.79,792
P135,Books,155.53,160.36,Premium,5256.03,0.91,1720
P136,Books,427.88,469.96,Budget,5818.22,0.95,3611
P137,Books,360.62,329.8,Premium,2606.01,1.15,0
P138,Beauty,298.66,273.4,Premium,3810.45,1.15,47
P139,Beauty,145.86,141.2,Standard,3072.22,1.07,1048
P140,Clothing,456.07,489.49,Standard,2855.68,0.76,3041
P141,Electronics,32.1,30.27,Standard,6741.65,0.79,1488
P142,Books,63.64,61.86,Premium,3311.95,0.76,1223
P143,Clothing,201.9,184.48,Standard,6688.14,1.05,742
P144,Electronics,70.97,74.71,Budget,1526.09,1.23,1458
P145,Home,478.64,469.86,Budget,2275.97,0.96,827
P146,Beauty,401.01,421.8,Premium,3470.86,0.8,2317
P147,Electronics,136.9,147.95,Premium,6373.42,1.03,2034
P148,Home,298.39,282.44,Standard,7082.57,1.19,830
P149,Electronics,491.34,521.55,Premium,4984.45,1.15,2946
P150,Beauty,443.26,404.17,Premium,5012.12,1.23,0
P151,Beauty,304.39,328.67,Budget,7520.65,0.87,2787
P152,Clothing,452.82,466.47,Budget,1142.39,0.82,1957
P153,Books,494.7,531.73,Standard,4069.81,1.23,3325
P154,Electronics,374.24,336.83,Premium,8368.36,1.09,0
P155,Electronics,41.84,39.07,Premium,6428.97,0.89,1317
P156,Home,206.77,202.21,Budget,4035.04,1.15,1276
P157,Beauty,420.53,410.4,Premium,9149.72,1.19,1196
P158,Electronics,122.98,116.26,Budget,7953.6,1.07,1336
P159,Beauty,417.01,407.14,Standard,3384.06,1.11,825
P160,Electronics,68.97,63.85,Budget,6807.61,0.93,1279
P161,Clothing,33.0,32.42,Premium,6361.76,1.02,1500
P162,Books,198.2,210.19,Standard,4610.69,1.01,2001
P163,Electronics,28.0,27.88,Budget,4302.6,1.21,1466
P164,Beauty,479.06,432.88,Budget,4092.04,1.2,0
P165,Clothing,414.84,408.32,Standard,6554.4,1.2,1206
P166,Electronics,402.38,364.33,Standard,4981.69,0.71,0
P167,Home,318.59,348.3,Budget,8486.77,1.15,3083
P168,Books,116.0,107.36,Premium,7026.42,1.16,1256
P169,Electronics,263.95,274.91,Budget,1629.38,1.11,1890
P170,Clothing,302.66,331.28,Standard,6761.51,1.15,3085
P171,Home,267.27,284.7,Budget,3440.33,1.21,2319
P172,Clothing,137.51,142.99,Standard,6335.31,0.98,1806
P173,Clothing,262.47,280.29,Standard,7121.19,1.0,2486
P174,Home,250.68,274.84,Premium,3077.46,0.77,2509
P175,Clothing,498.2,510.29,Standard,5111.73,0.93,1965
P176,Home,449.74,455.06,Standard,2712.92,1.09,1642
P177,Electronics,237.06,243.14,Premium,1471.05,1.17,1573
P178,Home,315.24,317.3,Standard,4406.29,0.83,1434
P179,Home,376.46,386.63,Premium,4266.5,0.78,1909
P180,Books,27.08,26.81,Premium,9959.32,1.1,1690
P181,Home,448.51,423.25,Standard,5017.17,0.7,179
P182,Home,431.46,398.69,Standard,4002.13,0.81,0
P183,Electronics,234.14,213.93,Budget,6224.28,0.72,421
P184,Books,201.67,192.12,Premium,1798.91,0.8,829
P185,Beauty,143.75,130.7,Budget,9654.99,0.81,1006
P186,Electronics,243.57,246.84,Standard,6714.64,0.93,1611
P187,Electronics,31.74,30.37,Budget,7793.54,0.94,1522
P188,Beauty,427.57,455.32,Premium,2534.3,1.22,2832
P189,Home,27.36,25.03,Budget,4685.3,1.01,1295
P190,Clothing,171.24,161.87,Premium,4804.2,1.13,1027
P191,Books,466.48,487.96,Standard,8396.26,0.76,2603
P192,Clothing,370.25,377.57,Standard,1011.13,0.84,1577
P193,Beauty,147.88,135.0,Premium,3707.68,1.12,819
P194,Electronics,133.8,143.89,Standard,9831.13,0.73,2153
P195,Electronics,12.49,13.43,Standard,5273.98,0.99,1573
P196,Books,350.9,339.0,Standard,4442.74,1.06,860
P197,Electronics,33.9,32.82,Standard,2078.46,1.06,1372
P198,Electronics,270.98,297.48,Premium,9767.48,0.71,2877
P199,Books,481.44,493.59,Budget,1180.24,0.89,1833
P200,Books,63.64,64.04,Budget,7634.62,1.08,1563
P201,Beauty,448.3,478.62,Standard,7917.4,0.79,3019
P202,Electronics,495.82,474.53,Budget,3192.91,1.12,268
P203,Electronics,40.14,39.57,Budget,7044.03,1.15,1562
P204,Beauty,442.62,422.06,Standard,1836.36,1.29,333
P205,Home,262.88,278.08,Standard,3313.43,0.83,2113
P206,Home,454.19,460.85,Budget,8091.12,1.2,1921
P207,Home,289.95,299.16,Premium,8782.18,1.01,2085
P208,Beauty,334.43,317.86,Standard,6476.38,0.92,631
P209,Electronics,276.45,260.98,Premium,5561.55,0.77,705
P210,Beauty,433.6,432.59,Budget,2433.74,1.14,1255
P211,Beauty,369.62,387.18,Standard,1567.98,0.84,2113
P212,Home,265.42,266.76,Premium,2058.84,0.92,1381
P213,Clothing,435.4,394.7,Standard,3046.22,0.74,0
P214,Electronics,130.19,139.79,Budget,4075.07,1.18,1954
P215,Home,87.1,79.52,Premium,4428.19,1.16,1154
P216,Clothing,88.6,96.68,Budget,4116.9,1.14,1847
P217,Clothing,173.66,157.17,Budget,3151.5,0.88,554
P218,Books,126.96,131.9,Standard,5587.52,0.8,1582
P219,Electronics,465.74,426.82,Premium,8427.57,1.08,0
P220,Clothing,61.86,66.94,Budget,3517.33,1.0,1639
P221,Home,352.51,350.0,Budget,9481.48,0.81,1457
P222,Books,102.72,95.27,Premium,8860.03,1.11,1302
P223,Electronics,442.0,427.93,Budget,2455.88,1.29,730
P224,Beauty,481.04,448.79,Budget,8076.48,1.15,0
P225,Home,238.08,222.39,Premium,6171.29,1.14,692
P226,Clothing,440.75,480.25,Premium,6099.18,1.27,3543
P227,Clothing,12.52,12.38,Premium,4519.38,0.82,1405
P228,Home,411.77,435.55,Premium,5510.38,1.04,2709
P229,Clothing,122.03,125.44,Standard,4574.61,1.29,1662
P230,Books,455.26,471.32,Premium,5857.59,0.8,2278
P231,Electronics,10.55,9.77,Standard,6651.55,1.12,1562
P232,Books,282.53,267.51,Standard,7068.73,1.05,791
P233,Clothing,380.75,402.59,Standard,5792.33,1.05,2561
P234,Beauty,136.76,149.64,Budget,7492.8,1.12,2234
P235,Electronics,104.64,99.67,Standard,2271.5,1.26,1127
P236,Electronics,51.21,48.87,Standard,2907.84,1.17,1229
P237,Home,169.95,169.03,Budget,8368.62,0.73,1498
P238,Home,284.32,311.83,Budget,3902.75,1.21,2832
P239,Beauty,66.76,63.68,Budget,1206.04,0.84,1082
P240,Electronics,194.58,190.96,Premium,2384.12,0.93,1114
P241,Beauty,14.45,15.58,Budget,3012.53,0.98,1316
P242,Home,411.15,370.28,Budget,9615.91,0.99,0
P243,Home,72.94,66.23,Standard,6157.37,0.96,1115
P244,Electronics,148.84,151.94,Budget,9394.58,1.26,1925
P245,Books,19.03,20.58,Premium,6176.47,1.12,1594
P246,Clothing,221.8,210.22,Budget,5314.19,1.08,852
P247,Home,421.66,419.1,Premium,3823.55,0.73,1206
P248,Home,202.15,200.15,Budget,6457.34,1.24,1534
P249,Books,97.95,97.42,Budget,2252.78,1.25,1367
P250,Books,379.31,388.6,Budget,9084.35,1.17,2163
P251,Beauty,396.52,394.12,Budget,8463.99,0.7,1376
P252,Beauty,95.14,94.14,Premium,3857.78,0.73,1369
P253,Clothing,387.72,385.73,Premium,9575.18,0.84,1516
P254,Clothing,474.18,482.8,Standard,8426.81,0.78,2055
P255,Electronics,91.53,92.21,Premium,6996.76,0.94,1555
P256,Beauty,387.78,415.25,Budget,2095.86,1.25,2770
P257,Home,357.2,325.02,Standard,5304.11,0.98,0
P258,Beauty,242.05,258.19,Standard,5554.97,0.71,2259
P259,Home,38.38,41.02,Standard,3092.96,0.87,1498
P260,Books,46.6,44.6,Budget,1719.69,0.73,1127
P261,Beauty,427.68,424.5,Premium,7990.51,0.72,1362
P262,Books,495.17,489.08,Budget,2098.32,0.87,981
P263,Clothing,341.27,322.06,Standard,6348.62,0.87,513
P264,Clothing,228.52,223.8,Budget,9428.04,1.17,1592
P265,Electronics,327.31,297.48,Budget,8884.95,1.28,159
P266,Beauty,301.25,287.86,Premium,3499.77,0.92,739
P267,Books,197.97,210.51,Premium,8663.04,0.96,2278
P268,Home,42.16,40.34,Standard,1002.99,1.21,1212
P269,Clothing,412.54,438.79,Budget,1159.19,0.86,2616
P270,Clothing,192.2,193.41,Budget,6422.98,0.79,1554
P271,Home,411.2,442.44,Premium,4283.18,1.21,2986
P272,Books,133.73,135.73,Budget,4478.15,0.73,1484
P273,Books,10.5,9.51,Budget,6079.97,1.07,1459
P274,Beauty,87.88,90.96,Budget,2726.04,1.04,1523
P275,Beauty,239.58,217.77,Premium,2905.8,0.91,277
P276,Electronics,472.71,468.04,Standard,5361.41,0.89,1169
P277,Clothing,60.07,65.23,Standard,7788.28,1.16,1939
P278,Beauty,428.56,399.86,Budget,6575.48,0.75,31
P279,Books,268.24,262.33,Standard,3676.2,0.84,1078
P280,Home,414.7,433.76,Premium,4873.03,1.14,2455
P281,Books,156.2,168.14,Premium,2535.98,1.03,1948
P282,Clothing,421.57,435.98,Standard,1671.67,0.78,1954
P283,Books,388.68,369.88,Standard,8044.26,1.23,683
P284,Electronics,122.73,127.02,Budget,3388.49,0.94,1558
P285,Clothing,74.35,71.33,Standard,2599.9,1.2,1297
P286,Home,435.35,454.37,Budget,7224.56,1.17,2502
P287,Electronics,481.99,525.76,Budget,6562.47,1.07,3694
P288,Clothing,25.34,26.46,Premium,6698.71,1.0,1552
P289,Home,368.32,395.05,Premium,3060.05,1.29,2754
P290,Electronics,455.67,410.29,Premium,3093.81,0.79,0
P291,Electronics,430.11,448.83,Premium,2987.22,1.14,2245
P292,Clothing,482.62,514.43,Standard,2563.77,0.81,2867
P293,Beauty,382.45,347.31,Premium,6901.51,0.9,0
P294,Electronics,226.73,243.58,Standard,8632.14,0.89,2391
P295,Electronics,162.86,154.94,Premium,7518.86,1.27,1169
P296,Home,167.16,172.69,Standard,8128.84,1.28,1896
P297,Books,364.97,386.89,Budget,4643.19,0.81,2526
P298,Clothing,375.46,387.67,Standard,6886.68,0.71,2144
P299,Clothing,108.18,99.36,Standard,4188.13,1.13,1090
